station_name,region,operator,tlc,entries_exits_total,entries_exits_full,entries_exits_reduced,entries_exits_season,interchanges,rank
Blackhorse Road,London,London Underground,BHO,2693538,776484,1450094,466960,0,207
Chichester,South East,Govia Thameslink Railway (Southern),CCH,2687308,745514,1421168,520626,49322,208
Plymouth,South West,Great Western Railway,PLY,2672762,261454,2226872,184436,128466,209
Bournemouth,South West,South Western Railway,BMH,2664456,514088,2006230,144138,71883,210
Gospel Oak,London,London Overground,GPO,2664268,796060,1566120,302088,1749395,211
Lewes,South East,Govia Thameslink Railway (Southern),LWS,2626246,567130,1448782,610334,581212,212
White Hart Lane,London,London Overground,WHL,2616980,702582,1604944,309454,0,213
Sidcup,London,Southeastern,SID,2614930,1048310,1239996,326624,0,214
Kensal Rise,London,London Overground,KNR,2607790,798036,1360532,449222,0,215
Kentish Town,London,London Underground,KTN,2589668,846004,1329228,414436,0,216
Basildon,East of England,c2c,BSO,2566830,854324,1176568,535938,0,217
Limehouse,London,c2c,LHS,2559778,1096248,1021440,442090,0,218
Honor Oak Park,London,London Overground,HPA,2553270,863836,1476246,213188,0,219
West Ealing,London,Elizabeth line,WEA,2548676,877938,1431234,239504,93991,220
Cheshunt,East of England,Greater Anglia,CHN,2547310,941266,1450848,155196,314476,221
Leamington Spa,West Midlands,Chiltern Railways,LMS,2544520,924114,1317578,302828,228744,222
Gillingham (Kent),South East,Southeastern,GLM,2542112,734220,1140722,667170,136775,223
Stirling,Scotland,ScotRail,STG,2527778,960326,1435996,131456,462222,224
Welwyn Garden City,East of England,Govia Thameslink Railway (Great Northern),WGC,2516216,1128182,1151874,236160,8564,225
Catford Bridge,London,Southeastern,CFB,2512134,730412,1268812,512910,82277,226
Potters Bar,East of England,Govia Thameslink Railway (Great Northern),PBR,2486164,959186,1262986,263992,51414,227
Wapping,London,London Overground,WPE,2471208,720346,1530758,220104,0,228
Horsham,South East,Govia Thameslink Railway (Southern),HRH,2464238,739394,1172308,552536,76483,229
Hatfield (Herts),East of England,Govia Thameslink Railway (Great Northern),HAT,2458060,1004316,1263684,190060,0,230
Stafford,West Midlands,Avanti West Coast,STA,2456512,623956,1595668,236888,533274,231
Brondesbury,London,London Overground,BSY,2442938,644180,1292028,506730,0,232
Greenwich,London,Southeastern,GNW,2439476,747762,1303258,388456,0,233
Benfleet,East of England,c2c,BEF,2439326,979518,1029484,430324,0,234
Streatham (Greater London),London,Govia Thameslink Railway (Southern),STE,2437720,839114,1110476,488130,298484,235
Herne Hill,London,Southeastern,HNH,2434224,823456,1230124,380644,1029213,236
Thornton Heath,London,Govia Thameslink Railway (Southern),TTH,2432008,672416,1081998,677594,15190,237
Walton-On-Thames,South East,South Western Railway,WAL,2425886,882694,1055046,488146,0,238
Cheltenham Spa,South West,Great Western Railway,CNM,2418292,510350,1831890,76052,276080,239
Chatham,South East,Southeastern,CTM,2397976,727534,1081102,589340,240,240
Rugby,West Midlands,Avanti West Coast,RUG,2392296,555436,1477822,359038,170035,241
Aberdeen,Scotland,ScotRail,ABD,2377660,722918,1548878,105864,218903,242
Staines,South East,South Western Railway,SNS,2371110,673860,1427166,270084,327430,243
Bradford Interchange,Yorkshire and The Humber,Northern Trains,BDI,2359354,575384,1461244,322726,89871,244
Norbury,London,Govia Thameslink Railway (Southern),NRB,2348766,697078,984078,667610,0,245
Billericay,East of England,Greater Anglia,BIC,2348512,1006236,722686,619590,0,246
Enfield Town,London,London Overground,ENF,2343318,814378,1313948,214992,0,247
Wakefield Westgate,Yorkshire and The Humber,London North Eastern Railway,WKF,2333910,570850,1508624,254436,116315,248
Sittingbourne,South East,Southeastern,SIT,2326816,627512,990064,709240,416366,249
Bristol Parkway,South West,Great Western Railway,BPW,2325558,456956,1787746,80856,875145,250
Shrewsbury,West Midlands,TfW Rail,SHR,2321270,775262,1235012,310996,244743,251
Chafford Hundred Lakeside,East of England,c2c,CFH,2317972,722340,1240058,355574,0,252
Carlisle,North West,Avanti West Coast,CAR,2316310,68040,2116644,131626,368419,253
Selly Oak,West Midlands,West Midlands Trains (West Midlands Railway),SLY,2308762,624248,956798,727716,0,254
Swansea,Wales,TfW Rail,SWA,2303850,858050,1311344,134456,29264,255
Ely,East of England,Greater Anglia,ELY,2299024,585456,1331058,382510,431002,256
