station_name,region,operator,tlc,entries_exits_total,entries_exits_full,entries_exits_reduced,entries_exits_season,interchanges,rank
Patterton,Scotland,ScotRail,PTT,488400,122044,179744,186612,0,874
Uphall,Scotland,ScotRail,UHA,488056,224016,224034,40006,0,875
Hook,South East,South Western Railway,HOK,487728,140534,237988,109206,0,876
Castleford,Yorkshire and The Humber,Northern Trains,CFD,487384,229296,188772,69316,29455,877
Bridgwater,South West,Great Western Railway,BWT,486562,152600,307968,25994,0,878
Marden (Kent),South East,Southeastern,MRN,485824,92450,251126,142248,0,879
Christchurch,South West,South Western Railway,CHR,484080,125698,305036,53346,0,880
Malden Manor,London,South Western Railway,MAL,484006,190224,205540,88242,0,881
Dumbarton Central,Scotland,ScotRail,DBC,483282,151754,270252,61276,63659,882
Farnborough North,South East,Great Western Railway,FNN,483280,166486,227052,89742,0,883
Reading West,South East,Great Western Railway,RDW,481548,221408,196390,63750,15434,884
Erdington,West Midlands,West Midlands Trains (West Midlands Railway),ERD,481364,140172,204400,136792,0,885
Purley Oaks,London,Govia Thameslink Railway (Southern),PUO,480890,177986,242206,60698,0,886
Stonehaven,Scotland,ScotRail,STN,480362,151774,307162,21426,0,887
Rye (Sussex),South East,Govia Thameslink Railway (Southern),RYE,480232,75706,314868,89658,0,888
South Hampstead,London,London Overground,SOH,477560,127226,269544,80790,0,889
Nailsea and Backwell,South West,Great Western Railway,NLS,476312,172164,208224,95924,0,890
Cross Gates,Yorkshire and The Humber,Northern Trains,CRG,474490,197120,183686,93684,0,891
Marks Tey,East of England,Greater Anglia,MKT,474352,164496,154412,155444,339446,892
Coatbridge Sunnyside,Scotland,ScotRail,CBS,472270,166464,236662,69144,0,893
Levenshulme,North West,Northern Trains,LVM,472012,172052,209708,90252,0,894
Sawbridgeworth,East of England,Greater Anglia,SAW,471296,207916,188416,74964,0,895
East Worthing,South East,Govia Thameslink Railway (Southern),EWR,470512,93706,154978,221828,0,896
Hoylake,North West,Merseyrail,HYK,470456,148986,260312,61158,0,897
Wallasey Village,North West,Merseyrail,WLV,469056,171482,225590,71984,0,898
Lowestoft,East of England,Greater Anglia,LWT,468156,110132,319072,38952,9861,899
Kilmarnock,Scotland,ScotRail,KMK,467114,171050,269100,26964,6916,900
Wivelsfield,South East,Govia Thameslink Railway (Southern),WVF,467022,136414,220572,110036,23506,901
Dorchester South,South West,South Western Railway,DCH,466422,100316,351786,14320,562,902
Thatcham,South East,Great Western Railway,THA,464916,135504,242804,86608,0,903
Rotherham Central,Yorkshire and The Humber,Northern Trains,RMC,463418,141458,263302,58658,3179,904
Olton,West Midlands,West Midlands Trains (West Midlands Railway),OLT,462908,154196,206598,102114,0,905
Dalmarnock,Scotland,ScotRail,DAK,462014,158836,243112,60066,0,906
Musselburgh,Scotland,ScotRail,MUB,461092,260082,170984,30026,0,907
Hornbeam Park,Yorkshire and The Humber,Northern Trains,HBP,458274,125770,190268,142236,0,908
Romsey,South East,South Western Railway,ROM,456802,109510,290298,56994,0,909
Worcestershire Parkway,West Midlands,Great Western Railway,WOP,456184,159114,267832,29238,133875,910
Llandudno,Wales,TfW Rail,LLD,456052,161044,271402,23606,0,911
Apperley Bridge,Yorkshire and The Humber,Northern Trains,APY,455666,122192,270114,63360,0,912
Whittlesford Parkway,East of England,Greater Anglia,WLF,454262,124806,233140,96316,0,913
Canley,West Midlands,West Midlands Trains (West Midlands Railway),CNL,453276,121502,224408,107366,0,914
Dunblane,Scotland,ScotRail,DBL,451060,173116,256686,21258,0,915
Leyland,North West,Northern Trains,LEY,450718,104828,304252,41638,0,916
Radyr,Wales,TfW Rail,RDR,450356,343162,28052,79142,67009,917
Oxshott,South East,South Western Railway,OXS,449494,150676,197090,101728,0,918
Billingshurst,South East,Govia Thameslink Railway (Southern),BIG,447136,121344,219450,106342,0,919
Jewellery Quarter,West Midlands,West Midlands Trains (West Midlands Railway),JEQ,446292,161064,166974,118254,0,920
Barry Island,Wales,TfW Rail,BYI,446058,303588,34142,108328,0,921
Otford,South East,Southeastern,OTF,445500,109230,243590,92680,48704,922
Kemble,South West,Great Western Railway,KEM,444760,38226,365182,41352,0,923
St Erth,South West,Great Western Railway,SER,444754,22340,410170,12244,265787,924
Moulsecoomb,South East,Govia Thameslink Railway (Southern),MCB,444586,151122,240082,53382,0,925
Balloch,Scotland,ScotRail,BHC,444334,169282,243710,31342,0,926
Lea Hall,West Midlands,West Midlands Trains (West Midlands Railway),LEH,442584,144268,177830,120486,0,927
Crossflatts,Yorkshire and The Humber,Northern Trains,CFL,442214,117706,150340,174168,0,928
Downham Market,East of England,Govia Thameslink Railway (Great Northern),DOW,440550,126844,234812,78894,0,929
Carmarthen,Wales,TfW Rail,CMN,439846,130848,284832,24166,10963,930
Great Yarmouth,East of England,Greater Anglia,GYM,439660,69532,362984,7144,164,931
Sheerness-On-Sea,South East,Southeastern,SSS,439094,149662,183164,106268,0,932
Longfield,South East,Southeastern,LGF,438942,125304,200064,113574,0,933
Grimsby Town,Yorkshire and The Humber,TransPennine Express,GMB,438712,49278,380866,8568,20434,934
Borough Green and Wrotham,South East,Southeastern,BRG,438368,134486,194014,109868,0,935
Fulwell,London,South Western Railway,FLW,437388,191298,192868,53222,0,936
Birchwood,North West,Northern Trains,BWD,437172,212666,148344,76162,0,937
Knebworth,East of England,Govia Thameslink Railway (Great Northern),KBW,436866,198404,168042,70420,0,938
Hairmyres,Scotland,ScotRail,HMY,436178,184990,205254,45934,0,939
Rye House,East of England,Greater Anglia,RYH,436060,180248,210328,45484,0,940
Frizinghall,Yorkshire and The Humber,Northern Trains,FZH,433232,96162,126002,211068,0,941
Hythe (Essex),East of England,Greater Anglia,HYH,433168,118240,266070,48858,0,942
Martins Heron,South East,South Western Railway,MAO,432940,132228,237924,62788,0,943
Cwmbran,Wales,TfW Rail,CWM,431856,239850,117656,74350,0,944
Hexham,North East,Northern Trains,HEX,431278,52970,350818,27490,5679,945
Scotstounhill,Scotland,ScotRail,SCH,430906,149112,218420,63374,0,946
Llandaf,Wales,TfW Rail,LLN,430768,325232,27510,78026,0,947
Newhaven Town,South East,Govia Thameslink Railway (Southern),NVN,430560,124362,209268,96930,0,948
Great Malvern,West Midlands,West Midlands Trains (West Midlands Railway),GMV,428770,144122,179538,105110,427,949
Widnes,North West,Northern Trains,WID,428030,163120,240556,24354,0,950
Earley,South East,South Western Railway,EAR,425632,129246,226822,69564,0,951
Dagenham Dock,London,c2c,DDK,424946,175960,194048,54938,0,952
Heath High Level,Wales,TfW Rail,HHL,424834,320128,23928,80778,0,953
Abergavenny,Wales,TfW Rail,AGV,423316,182910,188276,52130,0,954
Rice Lane,North West,Merseyrail,RIL,422834,85354,209080,128400,0,955
Heald Green,North West,Northern Trains,HDG,420190,157680,202494,60016,3886,956
Anderston,Scotland,ScotRail,AND,419400,171298,182168,65934,0,957
Axminster,South West,South Western Railway,AXM,417946,31882,295822,90242,0,958
Acocks Green,West Midlands,West Midlands Trains (West Midlands Railway),ACG,417750,131358,177132,109260,0,959
Sowerby Bridge,Yorkshire and The Humber,Northern Trains,SOW,417306,150674,202180,64452,0,960
Stechford,West Midlands,West Midlands Trains (West Midlands Railway),SCF,417294,126536,161204,129554,0,961
Dunbar,Scotland,ScotRail,DUN,416356,37008,361184,18164,0,962
Broad Green,North West,Northern Trains,BGE,415724,172420,138374,104930,0,963
Redruth,South West,Great Western Railway,RED,415576,53730,310858,50988,0,964
Lingfield,South East,Govia Thameslink Railway (Southern),LFD,415280,105070,147990,162220,0,965
Meols,North West,Merseyrail,MEO,414164,146810,227032,40322,0,966
Blantyre,Scotland,ScotRail,BLT,413806,141856,222254,49696,0,967
Merthyr Tydfil,Wales,TfW Rail,MER,412970,299772,30306,82892,0,968
West Horndon,East of England,c2c,WHR,411970,190144,163866,57960,0,969
Redcar Central,North East,Northern Trains,RCC,411366,54234,324204,32928,0,970
Town Green,North West,Merseyrail,TWN,409698,89718,268820,51160,0,971
Yardley Wood,West Midlands,West Midlands Trains (West Midlands Railway),YRD,409064,127408,164668,116988,0,972
Byfleet and New Haw,South East,South Western Railway,BFN,408252,148000,196982,63270,0,973
Mitcham Junction,London,Govia Thameslink Railway (Southern),MIJ,408018,137386,177506,93126,0,974
Tweedbank,Scotland,ScotRail,TWB,405824,161542,236366,7916,0,975
Wishaw,Scotland,ScotRail,WSH,405264,147150,207882,50232,0,976
Smethwick Rolfe Street,West Midlands,West Midlands Trains (West Midlands Railway),SMR,403964,137016,164480,102468,27,977
Windermere,North West,Northern Trains,WDM,402704,0,391636,11068,0,978
Hedge End,South East,South Western Railway,HDE,402116,97600,231600,72916,0,979
Gourock,Scotland,ScotRail,GRK,400706,151484,219018,30204,0,980
Lea Green,North West,Northern Trains,LEG,400690,127228,227164,46298,0,981
Bearsden,Scotland,ScotRail,BRN,399528,150438,211202,37888,0,982
Great Missenden,South East,Chiltern Railways,GMN,399198,199898,134554,64746,0,983
Kirkham and Wesham,North West,Northern Trains,KKM,397926,80260,275678,41988,6044,984
Worle,South West,Great Western Railway,WOR,397542,159478,212538,25526,0,985
Skegness,East Midlands,East Midlands Railway,SKG,397520,83782,310144,3594,0,986
Llandudno Junction,Wales,TfW Rail,LLJ,397122,116310,257712,23100,161394,987
Llanelli,Wales,TfW Rail,LLE,392682,135822,217838,39022,23059,988
London Road (Brighton),South East,Govia Thameslink Railway (Southern),LRB,391726,132156,223586,35984,0,989
Headingley,Yorkshire and The Humber,Northern Trains,HDY,391286,157770,181722,51794,0,990
Port Glasgow,Scotland,ScotRail,PTG,390992,117096,219118,54778,9767,991
Sunbury,South East,South Western Railway,SUU,390536,122714,176638,91184,0,992
Theale,South East,Great Western Railway,THE,390508,136622,176152,77734,0,993
Gravelly Hill,West Midlands,West Midlands Trains (West Midlands Railway),GVH,390286,118530,135458,136298,0,994
Warrington West,North West,Northern Trains,WAW,388970,121564,242698,24708,3661,995
Brighouse,Yorkshire and The Humber,Northern Trains,BGH,387592,110368,238010,39214,36630,996
Welwyn North,East of England,Govia Thameslink Railway (Great Northern),WLW,386640,150502,183892,52246,0,997
Springburn,Scotland,ScotRail,SPR,386114,149812,168974,67328,25722,998
Oldfield Park,South West,Great Western Railway,OLF,385994,164184,171714,50096,0,999
Tilehurst,South East,Great Western Railway,TLH,385312,112904,185538,86870,0,1000
Largs,Scotland,ScotRail,LAR,384942,116582,253058,15302,0,1001
East Tilbury,East of England,c2c,ETL,384542,133408,181818,69316,0,1002
Winnersh,South East,South Western Railway,WNS,384120,106098,176338,101684,0,1003
Blackwater,South East,Great Western Railway,BAW,383848,103276,244374,36198,0,1004
Hall Road,North West,Merseyrail,HLR,383818,49112,299870,34836,0,1005
Carntyne,Scotland,ScotRail,CAY,383786,144312,186708,52766,0,1006
Alfreton,East Midlands,East Midlands Railway,ALF,382994,127920,232620,22454,0,1007
Chapeltown (South Yorkshire),Yorkshire and The Humber,Northern Trains,CLN,382952,127172,191138,64642,0,1008
Addlestone,South East,South Western Railway,ASN,382112,149228,172918,59966,0,1009
Buxton,East Midlands,Northern Trains,BUX,381872,25232,333012,23628,0,1010
Scunthorpe,Yorkshire and The Humber,TransPennine Express,SCU,379072,71306,287516,20250,405,1011
Alnmouth,North East,Northern Trains,ALM,378954,27994,336026,14934,149,1012
Kirkstall Forge,Yorkshire and The Humber,Northern Trains,KLF,378822,119222,185348,74252,0,1013
Beckenham Hill,London,Govia Thameslink Railway (Thameslink),BEC,378666,138942,178624,61100,0,1014
Stourbridge Town,West Midlands,West Midlands Trains (West Midlands Railway),SBT,378582,69536,139076,169970,0,1015
Littleborough,North West,Northern Trains,LTL,378280,80834,204454,92992,0,1016
Hinckley (Leics),East Midlands,East Midlands Railway,HNK,377764,125196,218536,34032,0,1017
Blairhill,Scotland,ScotRail,BAI,377514,125336,198076,54102,0,1018
Spital,North West,Merseyrail,SPI,377240,174954,157304,44982,0,1019
Pokesdown,South West,South Western Railway,POK,377104,105796,239684,31624,0,1020
Torre,South West,Great Western Railway,TRR,376492,75898,170196,130398,0,1021
Hanborough,South East,Great Western Railway,HND,376462,125830,193846,56786,0,1022
Neilston,Scotland,ScotRail,NEI,375994,65796,131258,178940,0,1023
Dudley Port,West Midlands,West Midlands Trains (West Midlands Railway),DDP,375972,107652,172234,96086,0,1024
Moreton-In-Marsh,South West,Great Western Railway,MIM,375804,62736,298948,14120,0,1025
Malton,Yorkshire and The Humber,TransPennine Express,MLT,375622,62100,272260,41262,0,1026
Green Lane,North West,Merseyrail,GNL,374800,168070,155996,50734,0,1027
Newmarket,East of England,Greater Anglia,NMK,374156,134286,169826,70044,0,1028
March,East of England,Greater Anglia,MCH,373732,115308,195310,63114,64,1029
Pangbourne,South East,Great Western Railway,PAN,373542,103964,202244,67334,0,1030
Gatley,North West,Northern Trains,GTY,373524,112880,200150,60494,0,1031
Camborne,South West,Great Western Railway,CBN,372746,55144,242050,75552,0,1032
Waterbeach,East of England,Govia Thameslink Railway (Great Northern),WBC,371828,118740,185228,67860,0,1033
Eastham Rake,North West,Merseyrail,ERA,371254,143164,177580,50510,0,1034
Knutsford,North West,Northern Trains,KNF,371236,90642,181046,99548,0,1035
Urmston,North West,Northern Trains,URM,371074,152972,150520,67582,0,1036
Livingston South,Scotland,ScotRail,LVG,370340,165122,177838,27380,0,1037
Walton (Merseyside),North West,Merseyrail,WAO,370070,82284,184922,102864,0,1038
Garrowhill,Scotland,ScotRail,GAR,369700,119986,189886,59828,0,1039
Prestatyn,Wales,TfW Rail,PRT,368882,161374,176164,31344,0,1040
Portchester,South East,South Western Railway,PTC,366574,106700,210154,49720,0,1041
Camberley,South East,South Western Railway,CAM,364372,120198,218350,25824,0,1042
Mirfield,Yorkshire and The Humber,Northern Trains,MIR,364112,116804,192152,55156,43652,1043
Berrylands,London,South Western Railway,BRS,363954,144502,186302,33150,0,1044
Iver,South East,Elizabeth line,IVR,362658,104648,182818,75192,0,1045
Emsworth,South East,Govia Thameslink Railway (Southern),EMS,362368,114226,180486,67656,5129,1046
Arbroath,Scotland,ScotRail,ARB,362306,148210,190730,23366,2708,1047
Prittlewell,East of England,Greater Anglia,PRL,362280,149276,145724,67280,0,1048
Hadley Wood,London,Govia Thameslink Railway (Great Northern),HDW,362264,141922,189896,30446,0,1049
Pollokshaws East,Scotland,ScotRail,PWE,362074,127942,166766,67366,0,1050
Hatfield Peverel,East of England,Greater Anglia,HAP,361514,109600,110626,141288,0,1051
Marlow,South East,Great Western Railway,MLW,361450,105856,193460,62134,0,1052
Goring and Streatley,South East,Great Western Railway,GOR,360440,87898,218796,53746,0,1053
Hilsea,South East,South Western Railway,HLS,360224,128370,173364,58490,38086,1054
Inverurie,Scotland,ScotRail,INR,359792,166528,153112,40152,0,1055
Yate,South West,Great Western Railway,YAE,359704,150604,175090,34010,0,1056
Tipton,West Midlands,West Midlands Trains (West Midlands Railway),TIP,358656,99418,177674,81564,0,1057
Wadhurst,South East,Southeastern,WAD,358610,82320,192170,84120,0,1058
Ash Vale,South East,South Western Railway,AHV,358324,121800,167754,68770,100146,1059
Singer,Scotland,ScotRail,SIN,358320,116214,182718,59388,0,1060
Colwyn Bay,Wales,TfW Rail,CWB,357852,116280,214124,27448,181,1061
Gillingham (Dorset),South West,South Western Railway,GIL,357614,63782,254218,39614,0,1062
Saltburn,North East,Northern Trains,SLB,356108,47388,277802,30918,0,1063
Warminster,South West,Great Western Railway,WMN,355954,98120,221936,35898,17188,1064
Buckshaw Parkway,North West,Northern Trains,BSV,355252,99618,198176,57458,0,1065
East Midlands Parkway,East Midlands,East Midlands Railway,EMD,355098,73202,266950,14946,15373,1066
Castle Cary,South West,Great Western Railway,CLC,354740,14622,333794,6324,84303,1067
Liskeard,South West,Great Western Railway,LSK,353556,84862,216842,51852,63806,1068
Hildenborough,South East,Southeastern,HLB,352930,117308,132526,103096,0,1069
Earlswood (Surrey),South East,Govia Thameslink Railway (Southern),ELD,352176,135974,143360,72842,0,1070
Wivenhoe,East of England,Greater Anglia,WIV,352166,65230,206474,80462,471,1071
St Margarets (Herts),East of England,Greater Anglia,SMT,350664,148876,159222,42566,0,1072
Greenfield,North West,Northern Trains,GNF,350528,147542,138864,64122,0,1073
Birchington-On-Sea,South East,Southeastern,BCH,350024,50752,118910,180362,0,1074
Wallyford,Scotland,ScotRail,WAF,349262,177824,151666,19772,0,1075
